manager,etf_name,short_code,fund_code,detail_url,source,asset_class,style,theme,category_tags,aum_okr,aum_unit,asof_date,holdings_source,holding_count,fetched_at_utc,error,run_date_kst
삼성,KODEX 국고채30년액티브,439870,K55105DV4568,https://www.funetf.co.kr/product/etf/view/KR7439870007,FunETF,채권,액티브,채권,채권 | 액티브 | 국내,3509.33584636,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=439870 ; fetch_top10_holdings: 403 Client Error: Forbidden for url: https://www.funetf.co.kr/api/public/product/view/etfpdf?gijunYmd=20260331&wGijunYmd=20260330&gijunYmdNy=20260102&gijunYmd3month=20251231&jangYmd=20260401&jangState=JANGJOONG&usdGijunYmd=20260401&kodexPdfYmd=20260401&pfGijunYmd=20260202&pfGijunYmdBf12=20250203&pfGijunYmdInfo=20260130&pfGijunYmdBf12Info=20250131&itemId=KR7439870007&fid=2ETFH3&fundCd=K55105DV4568&repFundCd=K55105DV4568&etfLtypeCd=13&etfStypeCd=1301&zeroinTypeLcd=10&jasanGb=&newPdfDate=&sctyType=&schIdx=Y&schSuikMode=&schNavMode=&schTrendBuyMode=&compareCd_1=&compareCd_2=&compareCd_3=&compareNm_1=&compareNm_2=&compareNm_3=&eventYmd=&roleGroupType=ANONYMOUS&roleType=ROLE_ANONYMOUS&_csrf=9fd4adad-3539-4417-a557-4e0cb702096c&chkLike=K55105DV4568&schSuikPeriod=A&schSuikStDt=&schSuikEdDt=&calAmt2=&calAmt2Comma=&etfPdfYmd=20260401&cpnt01List=&rdoStock=GR&rdoBond=top5&schNavTerm=A&schNavStDt=&schNavEdDt=&schRiskTerm=60&schTrendBuyTerm=A&schTrendBuyStDt=&schTrendBuyEdDt=&trendKeywordTerm=M&schCtenDvsn=HOT_ETF,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 테슬라커버드콜채권혼합액티브,475080,K55105E76727,https://www.funetf.co.kr/product/etf/view/KR7475080008,FunETF,채권,커버드콜,커버드콜,채권 | 커버드콜,3391.8589794,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=475080,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 단기변동금리부채권액티브,273140,K55105BR3113,https://www.samsungfund.com/etf/product/view.do?id=2ETF89,FunETF,채권,액티브,금리형,채권 | 액티브 | 금리형,3304.89870107,억원,2026-03-31,KODEX,10,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 장기종합채권(AA-이상)액티브,363570,K55105D79160,https://www.funetf.co.kr/product/etf/view/KR7363570003,FunETF,채권,액티브,채권,채권 | 액티브 | 종합채권,3124.88467264,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=363570,2026-04-01T09:06:53.313085+09:00
삼성,KODEX ESG종합채권(A-이상)액티브,439860,K55105DR2899,https://www.funetf.co.kr/product/etf/view/KR7439860008,FunETF,채권,액티브,채권,채권 | 액티브 | 종합채권,3036.54338213,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=439860,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 28-04 회사채(A+이상)액티브,0094K0,K55301EM5013,https://www.funetf.co.kr/product/etf/view/KR70094K0007,FunETF,채권,액티브,채권,채권 | 액티브 | AA+미만,2946.04603233,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 신재생에너지액티브,385510,K55105DH2776,https://www.funetf.co.kr/product/etf/view/KR7385510003,FunETF,주식,액티브,전력/에너지,주식 | 액티브 | 전력/에너지 | 에너지&화학,2871.8340709,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=385510,2026-04-01T09:06:53.313085+09:00
타임폴리오,TIME 코스피액티브,385720,K553J1DJ0270,https://timeetf.co.kr/m11_view.php?idx=11,FunETF,주식,액티브,기타,주식 | 액티브,2411.0117571,억원,2026-04-01,TIME,29,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KoAct 코리아밸류업액티브,495230,K553N9EF9468,,FunETF,주식,액티브,기타,주식 | 액티브,2192.56268128,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 26-04 회사채(A+이상)액티브,0001S0,K55301EG5110,https://www.funetf.co.kr/product/etf/view/KR70001S0001,FunETF,채권,액티브,채권,채권 | 액티브 | AA+미만,1774.8722176,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 28-12 회사채(AA-이상)액티브,0119H0,K55105EN8642,https://www.funetf.co.kr/product/etf/view/KR70119H0003,FunETF,채권,액티브,채권,채권 | 액티브,1641.10059285,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=0119H0,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 금융채1~2년(AA-이상)PLUS액티브,0162M0,K55105ER7764,https://www.funetf.co.kr/product/etf/view/KR70162M0002,FunETF,채권,액티브,채권,채권 | 액티브,1373.66263312,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product/2ETFU1.do,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 국고채30년스트립액티브,451530,K55301DZ7882,,FunETF,채권,액티브,채권,채권 | 액티브 | 국내,1372.06037672,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
타임폴리오,TIME 코리아밸류업액티브,495060,K553J1EF9274,https://timeetf.co.kr/m11_view.php?idx=15,FunETF,주식,액티브,기타,주식 | 액티브,1344.19341237,억원,2026-04-01,TIME,33,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KODEX TDF2040액티브,433980,K55105DT5361,https://www.funetf.co.kr/product/etf/view/KR7433980000,FunETF,채권,액티브,기타,채권 | 액티브,1228.05693426,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=433980,2026-04-01T09:06:53.313085+09:00
삼성,KoAct K수출핵심기업TOP30액티브,0074K0,K553N9EL0774,,FunETF,주식,액티브,기타,주식 | 액티브,1176.71060631,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX TDF2060액티브,0082V0,K55105EI4473,https://www.funetf.co.kr/product/etf/view/KR70082V0008,FunETF,채권,액티브,기타,채권 | 액티브,1152.37719671,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=0082V0,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 기술이전바이오액티브,0168K0,K55301EQ3782,,FunETF,주식,액티브,바이오,주식 | 액티브 | 바이오,1081.0658944,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 리츠부동산인프라TOP10액티브,0086B0,K55301EL4868,https://www.funetf.co.kr/product/etf/view/KR70086B0008,FunETF,부동산/리츠,액티브,리츠/부동산,부동산/리츠 | 액티브 | 리츠/부동산,920.54135771,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax,2026-04-01T09:06:53.313085+09:00
삼성,KODEX TDF2030액티브,433970,K55105DT5353,https://www.funetf.co.kr/product/etf/view/KR7433970001,FunETF,채권,액티브,기타,채권 | 액티브,789.95459905,억원,2026-04-01,FunETF,10,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=433970,2026-04-01T09:06:53.313085+09:00
삼성,KoAct 배당성장액티브,476850,K553N9E80501,,FunETF,주식,액티브,배당,주식 | 액티브 | 배당,752.23024856,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 메타버스액티브,401470,K55105DM5970,,FunETF,주식,액티브,기타,주식 | 액티브,728.02353048,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=401470 ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 코리아테크액티브,471780,K55301E68232,,FunETF,주식,액티브,기타,주식 | 액티브,629.77835465,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 친환경조선해운액티브,445150,K55105DW7461,,FunETF,주식,액티브,전력/에너지,주식 | 액티브 | 전력/에너지 | 조선,624.15042829,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=445150 ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER AI코리아그로스액티브,365040,K55301D98900,,FunETF,주식,액티브,AI,주식 | 액티브 | AI |  AI&로봇,515.92472233,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
타임폴리오,TIME K컬처액티브,410870,K553J1DP1767,https://timeetf.co.kr/m11_view.php?idx=1,FunETF,주식,액티브,기타,주식 | 액티브,416.28249194,억원,2026-04-01,TIME,27,2026-04-01T00:06:53.312769+00:00,,2026-04-01T09:06:53.313085+09:00
삼성,KoAct 수소전력ESS인프라액티브,0150K0,K553N9EQ9994,,FunETF,부동산/리츠,액티브,리츠/부동산,부동산/리츠 | 액티브 | 리츠/부동산,397.3007385,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KoAct AI인프라액티브,487130,K553N9EC3266,,FunETF,부동산/리츠,액티브,AI,부동산/리츠 | 액티브 | AI |  AI&로봇,298.34715443,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 자율주행액티브,385520,K55105DH2784,,FunETF,주식,액티브,모빌리티,주식 | 액티브 | 모빌리티,291.31318417,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=385520 ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 33-06 국고채액티브,457690,K55105E17036,https://www.funetf.co.kr/product/etf/view/KR7457690006,FunETF,채권,액티브,채권,채권 | 액티브 | AA+이상,212.32844729,억원,2026-04-01,FunETF,2,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=457690,2026-04-01T09:06:53.313085+09:00
미래에셋,TIGER 퓨처모빌리티액티브,387280,K55301DH5144,,FunETF,주식,액티브,모빌리티,주식 | 액티브 | 모빌리티,171.56361739,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,tiger_official: 403 Client Error: Forbidden for url: https://investments.miraeasset.com/tigeretf/ko/product/search/detail/pdf.ajax ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
삼성,KODEX 혁신기술테마액티브,364690,K55105D92619,,FunETF,주식,액티브,기타,주식 | 액티브,167.61157323,억원,2026-04-01,FunETF,5,2026-04-01T00:06:53.312769+00:00,kodex_official: 403 Client Error: Forbidden for url: https://www.samsungfund.com/api/v1/kodex/product.do?srchTerm=w&ordrSort=DESC&ordrColm=NAV&pageNo=1&srchVal=364690 ; resolve_item_id: FunETF search form not found ; item_id_not_found,2026-04-01T09:06:53.313085+09:00
